Title,Location,Salary,Description,ID
DevOps Lead,"Chicago, IL",$92K - $145K (Glassdoor est.),"Deep expertise in observability technologies and tools, including Dynatrace, Splunk, New Relic, DataDog, Prometheus, Grafana, ELK, Big Panda, MoogSoft,…&hellip;
Skills: Azure, Remedy, DevOps, Google Cloud Platform, AWS",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.254
"Senior Lead Software Engineer, Back End (Java, Go, AWS)","Chicago, IL",,"The Card Technology team at Capital One is working on building a state-of-the-art software system to support one of the critical lifecycle functions enabling us…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.255
Principal Cloud Engineer,Illinois,$110K - $204K (Employer est.),"Leads and facilitates the design and implementation of repeatable technical solutions and processes related to technology architecture.&hellip;
Skills: CI/CD, Power BI, Azure, Node.js, Big data",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.256
Software Engineer,"Chicago, IL",$100K - $130K (Employer est.),"Enjoy seeing their own efforts have an outsized impact on the business and our customers. Data collected directly from the trailer’s sensors and components…&hellip;
Skills: React, Relational databases, Java, Application development, Databases",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.257
"Engineer, Software - Unity Developer","Chicago, IL",$63K - $99K (Glassdoor est.),"Analyze, design, and develop new games and maintain and enhance existing games. You will be involved in various aspects of the game’s creation from concept to…&hellip;
Skills: C#, Analysis skills, Unity, Agile, Communication skills",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.261
2025009 Staff Software Engineer,"Chicago, IL",$149K - $159K (Employer est.),"5 years of experience in design, create and implement the complex software application and data models with microservices architecture using java backend, Java…&hellip;
Skills: CI/CD, Computer science, CSS, JUnit, React",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.265
Software Engineer,"Chicago, IL",$525K - $875K (Employer est.),"BS in CompSci/ Maths or similarly related field. MSCS or similarly related field. To develop trading infrastructure in C++ & Python.&hellip;
Skills: C++, Presentation skills, Leadership, Python",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.269
Database Developer,"Chicago, IL",$70K - $80K (Employer est.),"Bachelor’s Degree in Computer Science, Computer Engineering, Data Science, Mathematics, or a related field or equivalent experience.&hellip;
Skills: Power BI, Microsoft Excel, Management, Microsoft SQL Server, SQL",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.273
Imaging Software Engineer,"Chicago, IL",$100K - $150K (Employer est.),"Bachelor’s degree in Computer Science, Electrical Engineering, or related field. In this role, you will be responsible for developing prototypes of future…&hellip;
Skills: Software troubleshooting, Analysis skills, C++, Software development, Agile",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.277
Software Engineer - Test Automation,"Chicago, IL",$88K - $134K (Employer est.),"You will work closely with our cross-functional development and QA teams to design, develop, and maintain automated tests using industry-standard tools and…&hellip;
Skills: CI/CD, Computer science, Test automation, Selenium, Git",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.281
Django Developer,"Chicago, IL",$59K - $82K (Employer est.),"The TMW Center has a robust research and development strategy that includes further development and testing of TMW interventions; harnessing technology to…&hellip;
Skills: Authentication, CSS, AWS, Analysis skills, Docker",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.285
Lead Software Engineer,"Chicago, IL",$200K - $220K (Employer est.),"Architect, develop, and maintain cloud-based infrastructure and applications. Familiarity with CI tools (e.g., GitHub Actions) and a passion for solving complex…&hellip;
Skills: CI/CD, Cloud infrastructure, React, Internet of things, DevOps",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.289
Software Engineering Summer Analyst/Associate,"Chicago, IL",$25.00 - $35.00 Per Hour (Employer est.),"Work on comprehensive, value-added project(s) that help enhance the fields of science and technology. A competitive hourly wage will be provided for the summer…&hellip;
Skills: Google Suite, Google Cloud Platform, SQL, JavaScript, Classroom experience",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.293
ADAS Software Engineer,"Chicago, IL",$105K - $114K (Employer est.),"Experience in the field of autonomous driving or ADAS systems. Ability to be independent both individually and with a team.&hellip;
Skills: ADAS, Management, Research, C++, C",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.297
Web Developer,"Chicago, IL",$71K - $100K (Glassdoor est.),"Bachelor’s degree in computer science, software engineering, or equivalent. Adaptive Health is looking for an experienced web developer to help design, build,…&hellip;
Skills: Computer science, Web development, HIPAA, Git, Information security",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.301
Database Developer,"Chicago, IL",$82K (Employer est.),"Coordinate with Business Analysts and customers to develop business requirements and specifications documents. Develop and update technical documentation.&hellip;
Skills: Performance tuning, Microsoft Excel, XML, Visual Studio, Microsoft SQL Server",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.305
"Software Engineer, Test - Flexible Hybrid in Chicago, IL","Chicago, IL",$94K - $116K (Employer est.),"Identify problems and collect relevant information for analysis; apply tools and logic to diagnose and develop theories on possible causes; look for root causes…&hellip;
Skills: Jira, TestNG, Oracle, Management, JUnit",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.309
Sr. Software Engineer-GW,"Chicago, IL",$72K - $141K (Employer est.),"Acts as technical consultant to programming staff and/or business unit to mentor staff in all phases of the program development, testing and implementation…&hellip;
Skills: Computer science, SAFe, Program development, System design, J2EE",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.313
Software Engineer II (Remote),"Oak Brook, IL",$87K - $111K (Employer est.),"Continuous Learning: The field of software engineering is constantly evolving, so a mindset of continuous learning is crucial.&hellip;
Skills: Azure, PCI, React, Visual Basic, Kanban",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.317
Software Engineer,"Chicago, IL",$95K - $115K (Employer est.),"Bachelor's degree in Computer Science, Engineering, or related field. Hands-on experience in frontend development using React.js, including state management…&hellip;
Skills: Cloud infrastructure, Management, React, OOP, AWS",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.321
Application Software Developer-2,"Chicago, IL",$84K - $120K (Glassdoor est.),"Minimum requirements include a college or university degree in related field. Assist with the design, architecture and implementation of software solutions.&hellip;
Skills: CI/CD, CSS, Cassandra, React, WordPress",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.325
"PRODUCT ENGINEER, FRONT END","Chicago, IL",$85K - $120K (Employer est.),"3+ years of experience in the same field, industry, or other equivalent business/ function role. Bachelor’s degree in Computer Science or a related field.&hellip;
Skills: Computer science, Management, React, JavaScript, Product management",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.329
Senior Software Engineer,"Chicago, IL",$120K - $145K (Employer est.),"Collaborate with cross-functional teams to conceptualize, design and prototype new features. Proficient understanding of code versioning tools, such as Git.&hellip;
Skills: React, Relational databases, Test automation, Git, Databases",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.449
"Senior Software Engineer, Full stack","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Kubernetes, Google Cloud Platform, Java",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.450
"Senior Software Engineer, Back End (Python, AWS, Spark)","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, Spark",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.451
Remote Automation Solutions Engineer (Territory Supporting Central US),"Chicago, IL",$100K - $110K (Employer est.),"See the process through by going into the field to assist with the install, program and verify solution integrity as needed.&hellip;
Skills: Analysis skills, Programmable logic controllers, Organizational skills, Product demos, Computer skills",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.452
"Lead Software Engineer, Back End (Enterprise Platforms Technology)","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.453
.NET Developer,"Chicago, IL",,"You will create detailed design artifacts like program specifications, test plans; and independently develop and review code and contribute to the go-live plan.&hellip;
Skills: .NET, Analysis skills, Continuous improvement, IT, Communication skills",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.454
"Senior Manager, Software Engineering, Full Stack",Illinois,,"This role will lead a team focused on modernizing the Trade Credit data infrastructure, using the latest technology from AWS as well as Capital One’s own…&hellip;
Skills: Azure, Go, Management, CSS, Kubernetes",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.455
Distinguished Engineer - Card Decisioning,"Chicago, IL",,"Ensure the quality of technical design and implementation. Familiarity with Security engineering and architecture, cloud and software-defined networking, site…&hellip;
Skills: Computer science, Azure, Go, Software deployment, Google Cloud Platform",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.456
ReactJS Developer - SC2025 - RJSD,"Rosemont, IL",$62K - $93K (Glassdoor est.),"Developing and maintaining technical documentation, including design documents, user guides, and API specifications, to effectively communicate complex concepts…&hellip;
Skills: Management, Node.js, CSS, React, Web development",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.457
Software Engineer,"Chicago, IL",$500K - $900K (Employer est.),"Design and implement low latency trading systems. Work closely with trading teams. Implement and test feed handlers. BS in CompSci or similarly related degree.&hellip;
Skills: TCP, C++, TCP/IP",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.461
Web Developer (Hybrid),"Evanston, IL",$80K - $113K (Employer est.),"A master’s degree in a related technical field. Proficiency in: HTML, CSS, Cascade (CMS), XML, XSLT, JavaScript, PHP, Ruby, Data Structures, JSON, Responsive…&hellip;
Skills: Microsoft Powerpoint, Microsoft Word, CRM software, Web accessibility, Microsoft Excel",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.465
Software Engineer,"Chicago, IL",$80K - $90K (Employer est.),"2+ years of experience developing with JavaScript and modern front-end web frameworks. Collaborate with team members to devise successful technical solutions.&hellip;
Skills: Cloud infrastructure, Microsoft Excel, Management, Business intelligence, CSS",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.469
Staff Software Engineer,"Chicago, IL",$99K - $137K (Employer est.),"Advanced degree in computer science, mathematics, statistics, engineering, or a relevant quantitative field strongly preferred.&hellip;
Skills: CI/CD, Elasticsearch, Go, Software troubleshooting, Salt",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.473
Lead Software Engineer - Virtual Card,"Chicago, IL",$133K - $185K (Employer est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to…&hellip;
Skills: Jira, CI/CD, Oracle, JUnit, Software troubleshooting",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.477
UI Developer,"Chicago, IL",$89K - $126K (Glassdoor est.),"Working as business system anlyst and groom user stories. Experience in troubleshooting and resolving issues in various browsers.&hellip;
Skills: CSS, Enterprise software, JavaScript, Ember.js, REST",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.481
