Unique Title,Title,Job Location,Company Name,Job Type,Salary
SoftDev,Pharmaceutical Field Sales Representative,"Chicago, IL",Inizio Engage,Full-time,Estimated: $62K - $78.4K a year
SoftDev,Azure AI Infrastructure Specialist,United States,Peraton,Full-time,"$104,000 - $166,000 a year"
SoftDev,Coding Expertise for AI Training (Simplified Chinese) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Teacher of Mathematics - AI Trainer,"Chicago, IL",DataAnnotation,Part-time | Full-time,From $40 an hour
SoftDev,"VP, Marketing Analytics","Rosemont, IL",Wintrust Financial,Full-time,"$117,000 - $158,000 a year"
SoftDev,"Sr. Analyst, Retail Data","Chicago, IL",Cresco Labs,Full-time,"$74,000 - $100,000 a year"
SoftDev,"Machine Learning Summer Associate, Digital Pathology","Chicago, IL",Tempus,Seasonal | Internship,$35 an hour
SoftDev,Visiting Discharge Data Lead-OSI (hybrid),"Chicago, IL",University of Illinois,unknown,"$90,000 - $105,000 a year"
SoftDev,Data Visualization Designer,"Chicago, IL",Press Ganey,Full-time,"$80,000 - $95,000 a year"
SoftDev,Math Tutor (Advanced Skills),"Chicago, IL",Huntington Learning Center - Lincoln Park,Part-time,$19 an hour
SoftDev,People Insights Analyst [PIA],"Chicago, IL",SPINS,unknown,"$70,000 - $80,000 a year"
SoftDev,2025 AARC Senior Data Science Analyst,"Chicago, IL",Discover Financial Services,unknown,"$103,000 a year"
SoftDev,Senior HR Data and Analytics Consultant (People Insights),"Chicago, IL",Northern Trust Corp.,Full-time,"$95,600 - $162,400 a year"
SoftDev,Research Analyst,"Chicago, IL",The University of Chicago,Full-time,"$66,300 - $85,800 a year"
SoftDev,Staff Data Scientist,"Chicago, IL",Kraft Heinz Company,Full-time,"$115,000 - $143,700 a year"
SoftDev,Data Scientist II,"Chicago, IL",Press Ganey,Full-time,"$80,000 - $90,000 a year"
